"店舗名","電話番号","メールアドレス","都道府県","市区町村","番地","建物名","URL","SSL"
"茨城の旬 海鮮 地酒 むらさき","029-828-5015","","茨城県","つくば市吾妻","1-8-10","BiViつくば3F","https://ghxe700.gorp.jp/","True"
"和創作 仁～JIN～","050-5487-0670","","茨城県","土浦市桜町","3-3-17","","https://wasousakujin.gorp.jp/","True"
"全席個室居酒屋×牛タンしゃぶしゃぶ 左衛門 新横浜店","050-5484-7570","","神奈川県","横浜市港北区新横浜","2-5-13","プランドール新横浜5F","https://shinyokohama-002.gorp.jp/","True"
"マルサ水産 津島店","050-5489-0944","","愛知県","津島市莪原町椋木","25-1","","https://nbsz427.gorp.jp/","True"
"三代目鳥メロ 栄広小路店","050-5492-3997","","愛知県","名古屋市中区栄","4-5-8","エアリビル3F","","False"
"うまいものあり おおみ矢 仙台 稲荷小路店","050-5486-5733","","宮城県","仙台市青葉区一番町","4-3-12","第5吉岡屋ビル1F","https://umaimonoari-omiya-inarikoujiten.gorp.jp/","True"
"旬醸 まほろば","050-5488-9312","","愛知県","名古屋市中区栄","3-10-13","Wビル1F","https://n522327.gorp.jp/","True"
"「アグー豚のしゃぶしゃぶ」と「島刺し盛り」 まーさんの家","050-5488-0947","","沖縄県","那覇市松尾","1-3-1","B1","https://fbme800.gorp.jp/","True"
"炭火焼 山塞料理 地雷也","050-5484-3338","","宮城県","仙台市青葉区国分町","2-1-15","猪股ビルB1","https://t024400.gorp.jp/","True"
"広島の地酒とご当地居酒屋 獅魂［しこん］新天地店","050-5489-0256","","広島県","広島市中区新天地","1-3","広島第3ビル6F","https://y848003.gorp.jp/","True"
"京焼肉にしき 上桂本店","050-5487-4079","","京都府","京都市西京区松尾大利町","20-8","","https://kam4403.gorp.jp/","True"
"Poco a Poco 北谷店","098-989-0058","","沖縄県","中頭郡北谷町北谷","2-16-7","2F","https://f387107.gorp.jp/","True"
"牛たん炭焼 利久 福島駅前店","024-529-6080","","福島県","福島市栄町","7-32","","","False"
"しゃぶしゃぶ 日本料理 木曽路 守口店","050-5485-4802","","大阪府","守口市佐太中町","4-2-14","","","False"
"さかな市場 下関駅前店","050-5485-1257","","山口県","下関市竹崎町","1-15-35","下関プラザビルBF","https://y017603.gorp.jp/","True"
"やんばるダイニング 松の古民家","050-5485-8909","","沖縄県","名護市大南","2-14-5","","https://matsu-no-kominka.gorp.jp/","True"
"個室割烹 上越やすだ 銀座二丁目店","050-5485-9121","","東京都","中央区銀座","2-5-19","PUZZLE銀座5F","https://gdkx702.gorp.jp/","True"
"ロバタヤキノオミセ ほしや食堂","050-5487-5740","","岡山県","倉敷市阿知","2-3-12","","https://hoshiyashokudou.gorp.jp/","True"
"個室居酒屋 くいもの屋わん 富士駅前店","050-5484-1942","","静岡県","富士市本町","5-7","富士駅前ビル1F","https://wan-fuji.gorp.jp/","True"
"銀座アスター 赤羽賓館","050-5488-4040","","東京都","北区赤羽","1-7-9","メッツ9F","https://g456309.gorp.jp/","True"
"ふぐ大将 いし松","050-5485-7382","","福岡県","福岡市中央区春吉","3-12-24","マキシム天神1F","https://f026300.gorp.jp/","True"
"海鮮と炭焼 凪 四条烏丸","075-754-8520","","京都府","京都市下京区烏丸通仏光寺西入ル釘隠町","232","","https://kbw5904.gorp.jp/","True"
"九州魂 米子店","050-5485-0442","","鳥取県","米子市明治町","224","1・2F","https://y669910.gorp.jp/","True"
"【2月2日OPEN】全席個室×九州和食 霧島屋 立川本店","042-512-6977","","東京都","立川市曙町","2-13-10","S-cube south6F","https://ghvx617.gorp.jp/","True"
"食堂カフェpotto×タニタカフェ もりのみやキューズモールBASE","050-5494-4839","","大阪府","大阪市中央区森ノ宮中央","2-1-70","","https://kbvd908.gorp.jp/","True"
"大衆ビストロPA9PA9","050-5486-8827","","群馬県","伊勢崎市本町","8-8","","https://gfn9600.gorp.jp/","True"
"炭火焼ブルスタ BLUSTA 伊達店","050-5494-2675","","北海道","伊達市舟岡町","198-4","","https://ha2w904.gorp.jp/","True"
