"店舗名","電話番号","メールアドレス","都道府県","市区町村","番地","建物名","URL","SSL"
"ヤキトリダイニング 精一杯 九号店","050-5493-3201","","愛知県","豊田市御幸本町","1-210","","https://nbxp201.gorp.jp/","True"
"魚民 花巻駅前店","0198-22-0588","","岩手県","花巻市大通り","1-5-3","ホワイトウルフビル2F","https://t088014.gorp.jp/","True"
"米沢牛炭火焼肉 上杉 福島店","050-5486-2468","","福島県","福島市笹谷字塗谷地","83-2","","https://uesugi-fukushima.gorp.jp/","True"
"ブッフェ ザ フォレスト ららぽーと TOKYO－BAY","050-5485-4828","","千葉県","船橋市浜町","2-1-1","ららぽーとTOKYO-BAY南館 3F","https://ghe5226.gorp.jp/","True"
"がんこ 大阪狭山店","050-5494-7755","","大阪府","大阪狭山市東茱萸木","2-775-3","","https://k026681.gorp.jp/","True"
"魚沼DINIING 楽","050-5484-3352","","新潟県","魚沼市小出島","124-60","","https://uonuma-gaku.gorp.jp/","True"
"魚民 肥後大津南口駅前店（熊本県）","096-293-4488","","熊本県","菊池郡大津町室","212-3","ひまわりビル1F","https://f654045.gorp.jp/","True"
"寧々家 山形あかねヶ丘店","050-5485-3838","","山形県","山形市あかねヶ丘","3-19-7","","https://neneya-yamagataakanegaoka.gorp.jp/","True"
"repos 広ステーションホテル","050-5488-4150","","広島県","呉市広中町","4-29","","https://ya67900.gorp.jp/","True"
"居酒屋 八蔵 八女本店","050-5484-6551","","福岡県","八女市本村杉町","802-2","","https://fb93402.gorp.jp/","True"
"鰻人","050-5494-7376","","大阪府","岸和田市五軒屋町","1-11","","https://kd7a401.gorp.jp/","True"
"炭火焼ブルスタ BLUSTA 登別店","050-5494-2677","","北海道","登別市新生町","2-1-4","","https://ha2w903.gorp.jp/","True"
"会津馬刺 信州上田 妙典 彦酉","050-5486-7198","","千葉県","市川市富浜","1-2-10","","https://gc5u603.gorp.jp/","True"
